,Comment,Likes,Time,user,UserLink
86,Jay Maa Sheravaali,1,4 days ago,,
87,शानदार कलाकार है यह,49,2 years ago,,
88,Ye song sunese bahut sukun ata he,21,1 year ago,,
89,sweet voice Sir,5,1 year ago,,
90,Childhood wake up song ️,47,1 year ago,,
91,Jai Mata Rani,1,1 day ago,,
92,Jai maa Durga,19,2 years ago,,
93,Thank you maa for blessings on us and forE verythingwith love,7,2 months ago,,
94,Gulsan Kumar best singer of india ever️,21,1 year ago,,
95,️,0,1 day ago,,
96,हर रात्रि यही भजन सुन कर सोता हूँबस माँ के बिना रहा नहीं जाता ️माँ सब कुछ आप ही होजय कारा है शेरोवाली दा बोल साँचे दरबार की जय,57,1 year ago,,
97,nice,0,1 day ago,,
98,सबसे पवित्र नाता बालक व माता।,23,2 years ago,,
99,This is awesome bhajan,7,6 months ago,,
